frame,time_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y
1,0.08333333333333333,2,5,car,0.8873656988143921,400.05548095703125,457.61077880859375,538.5569458007812,590.3268432617188,469.30621337890625,523.9688110351562
1,0.08333333333333333,3,15,suv,0.8811988830566406,119.0197525024414,315.416015625,250.948974609375,418.865966796875,184.98435974121094,367.1409912109375
1,0.08333333333333333,4,10,motorbike,0.8190481066703796,47.50069808959961,400.9354248046875,111.26815795898438,508.9627685546875,79.38442993164062,454.9490966796875
1,0.08333333333333333,5,5,car,0.8617628216743469,604.11376953125,400.7119140625,744.9699096679688,534.232421875,674.5418701171875,467.47216796875
1,0.08333333333333333,6,10,motorbike,0.8322969675064087,290.1936950683594,302.4201965332031,336.7688903808594,354.7530822753906,313.4812927246094,328.5866394042969
1,0.08333333333333333,7,13,rickshaw,0.7874417304992676,999.4906616210938,299.3924865722656,1079.9683837890625,375.75445556640625,1039.7294921875,337.573486328125
1,0.08333333333333333,8,5,car,0.8125158548355103,442.7340393066406,146.5926055908203,522.6259155273438,178.74961853027344,482.67999267578125,162.67111206054688
1,0.08333333333333333,9,11,pickup,0.7510257959365845,574.710693359375,275.60516357421875,684.7657470703125,405.83502197265625,629.7382202148438,340.7200927734375
1,0.08333333333333333,10,15,suv,0.6816076040267944,246.9754180908203,350.8836669921875,372.4640808105469,457.114013671875,309.7197570800781,403.99884033203125
1,0.08333333333333333,11,11,pickup,0.7261804938316345,110.89555358886719,197.537109375,268.0633850097656,287.2097473144531,189.47946166992188,242.37342834472656
1,0.08333333333333333,12,5,car,0.4682922065258026,159.205810546875,137.32861328125,201.3784942626953,161.82679748535156,180.29214477539062,149.57769775390625
1,0.08333333333333333,14,4,bus,0.38654473423957825,176.7617645263672,101.04423522949219,237.17669677734375,143.05337524414062,206.96923828125,122.0488052368164
1,0.08333333333333333,15,5,car,0.30013182759284973,368.8305969238281,645.5071411132812,546.3613891601562,673.9707641601562,457.59600830078125,659.7389526367188
1,0.08333333333333333,16,5,car,0.2609986960887909,386.12725830078125,643.0441284179688,550.6357421875,674.0,468.3815002441406,658.5220947265625
1,0.08333333333333333,17,10,motorbike,0.34174680709838867,1096.8360595703125,306.5242614746094,1138.6610107421875,373.0152282714844,1117.74853515625,339.7697448730469
1,0.08333333333333333,18,4,bus,0.48590508103370667,422.3349609375,329.15484619140625,528.73779296875,439.7342529296875,475.536376953125,384.4445495605469
1,0.08333333333333333,20,15,suv,0.35290077328681946,208.09385681152344,129.07501220703125,261.4821472167969,159.88516235351562,234.78799438476562,144.48008728027344
2,0.16666666666666666,1,5,car,0.9191229343414307,133.47264099121094,493.69500732421875,330.4302062988281,656.24365234375,231.951416015625,574.9693603515625
2,0.16666666666666666,2,5,car,0.8890572190284729,400.1673583984375,457.68280029296875,538.4019165039062,590.0872802734375,469.2846374511719,523.885009765625
2,0.16666666666666666,3,15,suv,0.8908319473266602,119.33670043945312,316.0199890136719,250.58807373046875,419.0040588378906,184.96238708496094,367.51202392578125
2,0.16666666666666666,4,10,motorbike,0.807483434677124,47.378170013427734,400.66876220703125,111.1639633178711,508.73577880859375,79.27106475830078,454.7022705078125
2,0.16666666666666666,5,5,car,0.8463899493217468,604.2799682617188,400.85186767578125,745.0784912109375,534.2994995117188,674.67919921875,467.57568359375
2,0.16666666666666666,6,10,motorbike,0.7995988726615906,290.62420654296875,303.13226318359375,336.4039001464844,354.4625244140625,313.5140380859375,328.7973937988281
